family_type,rate
Couple & Three or more Dependents,102.0370171633930231
Couple & Two Dependents,84.5127771237375302
Couple & One Dependent,69.2041848937356714
Couple,45.0808426792242394
Single & Three or more Dependents,84.6447691926389491
Single & Two Dependents,67.2010830906499783
Single & One Dependent,47.8578840076832518
Single,26.8218786789763926
